"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1001","NAVYA PRAJAPATHAM","TELTEL/2007/23718","21-04-2008","Telugu","Daily","KOTA DAMODAR REDDY","KOTA DAMODAR REDDY","Telangana","Nizamabad","View        registration details for NAVYA PRAJAPATHAM (TELTEL/2007/23718)"
"1002","NAYA TELANGANA SAMAGRA TELUGU DINA PATRIKA","TELTEL/2023/87658","26-06-2024","TELUGU","Daily","ATELLI SREENIVAS","ATELLI SREENIVAS","Telangana","","View        registration details for NAYA TELANGANA SAMAGRA TELUGU DINA PATRIKA (TELTEL/2023/87658)"
"1003","NAZ-E-DEECAN","52835","11-06-1991","Urdu","Weekly","MOHD. IBRAHIMUDDIN ANSARI","MOHD. IBRAHIMUDDIN ANSARI","Telangana","Hyderabad","View        registration details for NAZ-E-DEECAN (52835)"
"1004","NEDU REPU","37857","23-03-1983","Telugu","Daily","P SHANKARA RAO","NA","Telangana","Telangana","View        registration details for NEDU REPU (37857)"
"1005","NEDU REPU","37871","03-02-1993","Telugu","Daily","G. JYOTHI","G.JYOTHI","Telangana","Hyderabad","View        registration details for NEDU REPU (37871)"
"1006","NEEGHA NETHRAM","TELTEL/2006/17406","19-09-2006","Telugu","Daily","Ram Dayanand Koyalkar","RAM DAYANAND KOYALKAR","Telangana","Nizamabad","View        registration details for NEEGHA NETHRAM (TELTEL/2006/17406)"
"1007","NEELAGIRI EXPRESS","TELTEL/2023/87644","25-06-2024","TELUGU","Daily","DESHA VENKATESHWARLU","DESHA VENKATESHWARLU","Telangana","","View        registration details for NEELAGIRI EXPRESS (TELTEL/2023/87644)"
"1008","NEELAGIRI SHANKARAVAMU","APTEL/2001/05533","08-08-2001","Telugu","Fortnightly","KOTAGIRI CHANDRA SEKAR","KOTAGIRI CHANDRA SEKAR","Telangana","Nalgonda","View        registration details for NEELAGIRI SHANKARAVAMU (APTEL/2001/05533)"
"1009","NEELAGIRI SHANKARAVAMU","TELTEL/2022/86880","15-04-2024","Telugu","Daily","KOTAGIRI CHANDRA SHEKAR","KOTAGIRI CHANDRA SEKAR","Telangana","Nalgonda","View        registration details for NEELAGIRI SHANKARAVAMU (TELTEL/2022/86880)"
"1010","NEETI PRAJALA CHAITHANYAM KOSAM VAARTHA TODAY","TELTEL/2009/30114","24-07-2012","Telugu","Daily","A RAJI REDDY","A RAJI REDDY","Telangana","Medchal Malkajgiri","View        registration details for NEETI PRAJALA CHAITHANYAM KOSAM VAARTHA TODAY (TELTEL/2009/30114)"
"1011","NEETI TELAGANA","TELTEL/2022/90245","02-12-2024","TELUGU","Daily","CHAKRADHAR","CHAKRADHAR","Telangana","","View        registration details for NEETI TELAGANA (TELTEL/2022/90245)"
"1012","NELAVANKA NEMALEEKA","TELTEL/2015/62643","16-06-2015","Telugu","Monthly","L. BRAMARAMBA","L. BRAMARAMBA","Telangana","Rangareddy","View        registration details for NELAVANKA NEMALEEKA (TELTEL/2015/62643)"
