"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1001","GAJUWAAKA TIMES","APTEL/2018/75244","18-05-2018","Telugu","Monthly","BANTHIKOLLA SANTHOSHI DEVI","BANTHIKOLLA SANTHOSHI DEVI","Andhra Pradesh","Visakhapatnam","View        registration details for GAJUWAAKA TIMES (APTEL/2018/75244)"
"1002","GAJUWAKA JOURNALIST","APTEL/2016/70073","16-01-2017","Telugu","Monthly","DODDI KRISHNA","DODDI KRISHNA","Andhra Pradesh","Visakhapatnam","View        registration details for GAJUWAKA JOURNALIST (APTEL/2016/70073)"
"1003","GALAM","APTEL/2004/12942","31-01-2004","Telugu","Fortnightly","V RAVINDRANATH REDDY","V RAVINDRANATH REDDY","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for GALAM (APTEL/2004/12942)"
"1004","GAME CHANGER","APTEL/26/A0777","27-01-2026","Telugu","Daily","MEDANKI NAGARAJU","MEDANKI NAGARAJU","Andhra Pradesh","Eluru","View        registration details for GAME CHANGER (APTEL/26/A0777)"
"1005","GANAKALA","5956","19-03-1962","Telugu","Monthly","MUNUGANTI SRIRAMAMURTY","SANGEETA VIDWATSABHA- MUNUGANTI SRINAMAMURTHY","Andhra Pradesh","East Godavari","View        registration details for GANAKALA (5956)"
"1006","GANDHI GIRI","APTEL/2014/57014","05-09-2014","Telugu","Weekly","VOMMI RAGHURAM","VOMMI RAGHU RAM","Andhra Pradesh","East Godavari","View        registration details for GANDHI GIRI (APTEL/2014/57014)"
"1007","GANDHI KSHETRAM","37982","24-08-1984","Telugu","Monthly","MANDALI BUDDHA PRASAD","MANDALI BUDDHA PRASAD","Andhra Pradesh","Krishna","View        registration details for GANDHI KSHETRAM (37982)"
"1008","GANDHI PADHAM","APBIL/2010/33772","24-09-2010","English, Telugu","Fortnightly","A.S. DIVYA TEJA","A.S. DIVYA TEJA","Andhra Pradesh","Hyderabad","View        registration details for GANDHI PADHAM (APBIL/2010/33772)"
"1009","GANGA NEWS","APTEL/2014/59403","05-01-2015","Telugu","Daily","B. LINGA RAJU","B. LINGARAJU","Andhra Pradesh","Prakasam","View        registration details for GANGA NEWS (APTEL/2014/59403)"
"1010","GANGA NEWS","APTEL/2012/47549","17-01-2013","Telugu","Daily","B. LINGA RAJU","B. LINGARAJU","Andhra Pradesh","Kurnool","View        registration details for GANGA NEWS (APTEL/2012/47549)"
"1011","GANGAATERAM","APTEL/2010/33594","08-09-2010","Telugu","Weekly","V. GANGADHAR","V. GANGADHAR","Andhra Pradesh","Hyderabad","View        registration details for GANGAATERAM (APTEL/2010/33594)"
"1012","GANGAPUTHRA JYOTHI","APTEL/2010/43766","04-07-2012","Telugu","Monthly","T. MALKAIAH","T. MALKAIAH","Andhra Pradesh","Rangareddy","View        registration details for GANGAPUTHRA JYOTHI (APTEL/2010/43766)"
"1013","GARIMA SAMSKRUTHIKA VEDIKA","APTEL/25/A4658","03-12-2025","Telugu","Monthly","KODUGANTI VENKATA SATYA NARASIMHAM","KODUGANTI VENKATA SATYA NARASIMHAM","Andhra Pradesh","Visakhapatnam","View        registration details for GARIMA SAMSKRUTHIKA VEDIKA (APTEL/25/A4658)"
"1014","GARJANA","APTEL/2002/10007","03-12-2003","Telugu","Fortnightly","DEVARAM NIRMALA DEVI","DEVARAM NIRMALA DEVI","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for GARJANA (APTEL/2002/10007)"
"1015","GARUDA DHATRI","APTEL/2021/80255","27-08-2021","Telugu","Daily","GURAM ASHOK KUMAR","GURAM ASHOK KUMAR","Andhra Pradesh","Chittoor","View        registration details for GARUDA DHATRI (APTEL/2021/80255)"
"1016","GARUDA PRABHA","APTEL/2019/78450","06-02-2020","Telugu","Monthly","PUTTA AYYANNA BABU","PUTTA AYYANNA BABU","Andhra Pradesh","Prakasam","View        registration details for GARUDA PRABHA (APTEL/2019/78450)"
"1017","GARUDA PRABHA","TEL/2019/76938","22-02-2019","Telugu","Daily","PUTTA AYYANNA BABU","PUTTA AYYANNA BABU","Andhra Pradesh","Prakasam","View        registration details for GARUDA PRABHA (TEL/2019/76938)"
"1018","GARUDA VEGA","APTEL/26/A1822","23-03-2026","Telugu","Daily","KONIJETI CHENNA KESAVA RAMESH BABU","KONIJETI CHENNA KESAVA RAMESH BABU","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for GARUDA VEGA (APTEL/26/A1822)"
"1019","GARUDA VEGA","APTEL/2020/85666","09-11-2023","Telugu","Daily","KONIJETI CHENNA KESAVA RAMESH BABU","KONIJETI CHENNA KESAVA RAMESH BABU","Andhra Pradesh","Guntur","View        registration details for GARUDA VEGA (APTEL/2020/85666)"
"1020","GATEWAY OF KRISHNAPATNAM","APTEL/25/A4313","25-11-2025","Telugu","Daily","Bonigi Seenaiah","Bonigi Seenaiah","Andhra Pradesh","Krishna","View        registration details for GATEWAY OF KRISHNAPATNAM (APTEL/25/A4313)"
"1021","GATEWAY OF KRISHNAPATNAM","APTEL/2018/75986","06-09-2018","Telugu","Monthly","BONIGI SEENAIAH","BONIGI SEENAIAH","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for GATEWAY OF KRISHNAPATNAM (APTEL/2018/75986)"
"1022","GATEWAY OF KRISHNAPATNAM","APTEL/26/A1224","18-02-2026","Telugu","Monthly","Bonigi Seenaiah","Bonigi Seenaiah","Andhra Pradesh","Chittoor","View        registration details for GATEWAY OF KRISHNAPATNAM (APTEL/26/A1224)"
"1023","GAUTAMI","APTEL/2012/48062","14-02-2013","Telugu","Fortnightly","MITTAPALLI BHAGYALAXMI","MITTAPALLI BHAGYALAXMI","Andhra Pradesh","Karimnagar","View        registration details for GAUTAMI (APTEL/2012/48062)"
"1024","GAYATHRI NEWS","APTEL/26/A3646","13-05-2026","Telugu","Daily","Maddineni Nageswara Rao","Maddineni Nageswara Rao","Andhra Pradesh","Guntur","View        registration details for GAYATHRI NEWS (APTEL/26/A3646)"
"1025","Gayathri Varthalu","APTEL/25/A1201","11-06-2025","Telugu","Daily","Maddineni Nageswara Rao","Maddineni Nageswara Rao","Andhra Pradesh","Guntur","View        registration details for Gayathri Varthalu (APTEL/25/A1201)"
"1026","GEETHAVANI","3244","25-04-1951","Telugu","Monthly","SWAMY YOGESWARANANDA GIRI","SRI SANKARANANDA ASHRAM","Andhra Pradesh","Kurnool","View        registration details for GEETHAVANI (3244)"
"1027","GHARTHAPURI NEWS","APBIL/2021/83449","28-02-2023","English, Telugu","Monthly","EGA KRISHNA SATYA","EGA KRISHNA SATYA","Andhra Pradesh","Guntur","View        registration details for GHARTHAPURI NEWS (APBIL/2021/83449)"
"1028","GHOOMTI DUNIYA","APURD/2013/48481","06-03-2013","Urdu","Monthly","SAYEED BIN MOHAMMAD","SAYEED BIN MOHAMMAD","Andhra Pradesh","Nalgonda","View        registration details for GHOOMTI DUNIYA (APURD/2013/48481)"
"1029","GIDDALUR EXPRESS","APBIL/2016/68955","10-10-2016","English, Telugu","Daily","NARRA PEDDA SINGARA REDDY","NARRA PEDDA SINGARA REDDY","Andhra Pradesh","Prakasam","View        registration details for GIDDALUR EXPRESS (APBIL/2016/68955)"
"1030","GIRDHARI","44892","20-11-1985","Telugu","Monthly","SURDARA CHAITANYANANDA","SURDARA CHAITANYANANDA","Andhra Pradesh","West Godavari","View        registration details for GIRDHARI (44892)"
"1031","GIRIJANA JAYABHERI","APTEL/2017/74576","06-02-2018","Telugu","Monthly","E. RAGHURAM","E RAGHURAM","Andhra Pradesh","Chittoor","View        registration details for GIRIJANA JAYABHERI (APTEL/2017/74576)"
"1032","GIRIJANA JYOTHI","APTEL/2008/24161","22-05-2008","Telugu","Weekly","KOTTURI SATYA RAJ","K. SATYA RAJ.","Andhra Pradesh","Adilabad","View        registration details for GIRIJANA JYOTHI (APTEL/2008/24161)"
"1033","GIRIJANA KERATAM","APTEL/2013/54513","05-02-2014","Telugu","Monthly","G. SHANKER","G. SHANKER","Andhra Pradesh","Rangareddy","View        registration details for GIRIJANA KERATAM (APTEL/2013/54513)"
"1034","GIRIJANA NAIK TIMES","APTEL/2023/86249","02-02-2024","Telugu","Monthly","K.LALU NAIK","K.LALU NAIK","Andhra Pradesh","Kurnool","View        registration details for GIRIJANA NAIK TIMES (APTEL/2023/86249)"
"1035","GIRIJANA SANSKRUTHI","APTEL/2012/47902","07-02-2013","Telugu","Monthly","RAMAVATH DHARMA NAIK","RAMAVATH DHARMA NAIK","Andhra Pradesh","Rangareddy","View        registration details for GIRIJANA SANSKRUTHI (APTEL/2012/47902)"
"1036","GIRIJANA SANSKRUTHI","APTEL/2013/51849","05-09-2013","Telugu","Daily","RAMAVATH DHARMA NAIK","RAMAVATH DHARMA NAIK","Andhra Pradesh","Rangareddy","View        registration details for GIRIJANA SANSKRUTHI (APTEL/2013/51849)"
"1037","GIRIJANA VEDIKA","APBIL/2007/22561","14-01-2008","English, Telugu","Monthly","B. NAGESHWAR","B.NAGESHWAR","Andhra Pradesh","Rangareddy","View        registration details for GIRIJANA VEDIKA (APBIL/2007/22561)"
"1038","GLOBAL  VAARTHA","APTEL/26/A2902","29-04-2026","Telugu","Daily","DONDLAVAGU BHAVYA","DONDLAVAGU BHAVYA","Andhra Pradesh","Y.S.R.","View        registration details for GLOBAL  VAARTHA (APTEL/26/A2902)"
"1039","GLOBAL NEWS","APTEL/2006/22573","14-01-2008","Telugu","Daily","RAGIR SUSEELA","RAGIR SUSEELA","Andhra Pradesh","Chittoor","View        registration details for GLOBAL NEWS (APTEL/2006/22573)"
"1040","GLOBAL SPORTS","APTEL/2016/69407","28-11-2016","Telugu","Monthly","GARA USHA RANI","GARA USHA RANI","Andhra Pradesh","Guntur","View        registration details for GLOBAL SPORTS (APTEL/2016/69407)"
"1041","GNANA JAGATHI","APTEL/2009/32342","13-05-2010","Telugu","Monthly","JALE VASU","JALE VASU","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for GNANA JAGATHI (APTEL/2009/32342)"
"1042","GODAARI CHENTA EEVELA","APTEL/2010/36424","24-03-2011","Telugu","Daily","T.SRINIVASA YADAV","TURALA SRINIVASA YADAV","Andhra Pradesh","East Godavari","View        registration details for GODAARI CHENTA EEVELA (APTEL/2010/36424)"
"1043","GODAARI VISION","APTEL/25/A0276","19-05-2025","Telugu","Daily","Kanumuri Kiran Kumar Raju","Kanumuri Kiran Kumar Raju","Andhra Pradesh","East Godavari","View        registration details for GODAARI VISION (APTEL/25/A0276)"
"1044","GODARI THEERANNA NETI VARTHA","APTEL/25/A1871","18-07-2025","Telugu","Daily","Botla Suresh","Botla Suresh","Andhra Pradesh","East Godavari","View        registration details for GODARI THEERANNA NETI VARTHA (APTEL/25/A1871)"
"1045","GODAVARI SANNIDHI","APTEL/2017/73371","19-09-2017","Telugu","Monthly","NALLAJARLA SRINIVASA RAO","NALLAJARLA SRINIVASA RAO","Andhra Pradesh","East Godavari","View        registration details for GODAVARI SANNIDHI (APTEL/2017/73371)"
"1046","GODAVARI TARANGINI","APTEL/2013/48087","15-02-2013","Telugu","Daily","KOLLU SRINIVASARAO","KOLLU SRINIVASARAO","Andhra Pradesh","West Godavari","View        registration details for GODAVARI TARANGINI (APTEL/2013/48087)"
"1047","GODAVARI TEERAM","APTEL/2012/42271","15-05-2012","Telugu","Daily","PENUGONDA SOMESWARA RAO","PENUGONDA SOMESWARA RAO","Andhra Pradesh","East Godavari","View        registration details for GODAVARI TEERAM (APTEL/2012/42271)"
"1048","GODAVARI TIMES","APTEL/2014/57285","16-09-2014","Telugu","Daily","ANANTHA RAO GOTTIMUKKALA","ANANTHA RAO GOTTIMUKKALA","Andhra Pradesh","East Godavari","View        registration details for GODAVARI TIMES (APTEL/2014/57285)"
