"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1","A RAY OF HOPE","APURD/2013/50372","18-06-2013","Urdu","Daily","SYED ABDUL KHADER QUADRI","SYED ABDUL KHADER QUADRI","Andhra Pradesh","Hyderabad","View        registration details for A RAY OF HOPE (APURD/2013/50372)"
"2","A RAY OF HOPE","APURD/2012/47434","10-01-2013","Urdu","Monthly","SYED ABDUL KHADER QUADRI","SYED ABDUL KHADER QUADRI","Andhra Pradesh","Hyderabad","View        registration details for A RAY OF HOPE (APURD/2012/47434)"
"3","A STAR NEWS TELUGU","APTEL/25/A1742","07-07-2025","Telugu","Daily","APPIKONDA NARENDRASANJEEV","APPIKONDA NARENDRASANJEEV","Andhra Pradesh","Visakhapatnam","View        registration details for A STAR NEWS TELUGU (APTEL/25/A1742)"
"4","A.P. CHAMPION","APTEL/2011/44044","11-07-2012","Telugu","Monthly","JAMBULA RAMESH REDDY","JAMBULA RAMESH REDDY","Andhra Pradesh","Anantapur","View        registration details for A.P. CHAMPION (APTEL/2011/44044)"
"5","A.P. EXPRESS NEWS 5","APTEL/2011/36997","29-04-2011","Telugu","Monthly","K. VIJAYA SIMHAREDDY","K. VIJAYASIMHA REDDY","Andhra Pradesh","Anantapur","View        registration details for A.P. EXPRESS NEWS 5 (APTEL/2011/36997)"
"6","AADAB HYDERABAD","APTEL/26/A3873","19-05-2026","Telugu","Daily","VEERAMALLA SATYAM","VEERAMALLA SATYAM","Andhra Pradesh","Krishna","View        registration details for AADAB HYDERABAD (APTEL/26/A3873)"
"7","AADHARSHA RATHNA","APTEL/2002/08514","16-10-2002","Telugu","Daily","PATI VENKATANARASIMHA RAO","PATI VENKATANARASIMHA RAO","Andhra Pradesh","Chittoor","View        registration details for AADHARSHA RATHNA (APTEL/2002/08514)"
"8","AADI PARASAKTHI-MAHAKALI","APTEL/2000/07110","23-09-2000","Telugu","Monthly","M.K.GNANI","M.K.GNANI","Andhra Pradesh","Prakasam","View        registration details for AADI PARASAKTHI-MAHAKALI (APTEL/2000/07110)"
"9","AADIVAASI GONTUKA","APTEL/2012/45762","12-10-2012","Telugu","Quarterly","VATTAM UPENDER","VATTAM UPENDER","Andhra Pradesh","Warangal","View        registration details for AADIVAASI GONTUKA (APTEL/2012/45762)"
"10","AAJ KA A.P.","APENG/2009/29343","26-10-2009","English","Fortnightly","SYED KARRAR ALI KHAN","SYED KARRAR ALI KHAN","Andhra Pradesh","Hyderabad","View        registration details for AAJ KA A.P. (APENG/2009/29343)"
"11","AAJ KA A.P.","APURD/2010/37199","11-05-2011","Urdu","Daily","SYED KARRAR ALI KHAN","SYED KARRAR ALI KHAN","Andhra Pradesh","Hyderabad","View        registration details for AAJ KA A.P. (APURD/2010/37199)"
"12","AAJ KA HYDERABAD","APURD/2009/28969","15-09-2009","Urdu","Daily","SYED KAREEMULLAH HUSSAINI","SYED KAREEMULLAH HUSSAINI","Andhra Pradesh","Hyderabad","View        registration details for AAJ KA HYDERABAD (APURD/2009/28969)"
"13","AAJ KA MANZAR","APURD/2006/19323","18-04-2007","Urdu","Daily","ANEES FATIMA","ANEES FATIMA","Andhra Pradesh","Hyderabad","View        registration details for AAJ KA MANZAR (APURD/2006/19323)"
"14","AAJ KA TELANGANA","APTEL/2013/53409","05-12-2013","Telugu","Daily","SYED ASAD","SYED ASAD","Andhra Pradesh","Nizamabad","View        registration details for AAJ KA TELANGANA (APTEL/2013/53409)"
"15","AALAYADARSHINI","APTEL/2012/44604","07-08-2012","Telugu","Monthly","M. VENKATA RATNAM","M. VENKATA RATNAM","Andhra Pradesh","Rangareddy","View        registration details for AALAYADARSHINI (APTEL/2012/44604)"
"16","AALMI WAQAYAT","APURD/2010/33129","30-07-2010","Urdu","Daily","GULAM ABBAS KHAN","GULAM ABBAS KHAN","Andhra Pradesh","Hyderabad","View        registration details for AALMI WAQAYAT (APURD/2010/33129)"
"17","AALOCHINCHU","APTEL/2016/69860","29-12-2016","Telugu","Daily","PADALA SRIHARI REDDY","PADALA SRIHARI REDDY","Andhra Pradesh","East Godavari","View        registration details for AALOCHINCHU (APTEL/2016/69860)"
"18","AANTHAHAPURAM","APTEL/2003/11229","19-06-2003","Telugu","Weekly","KANIGALLA LEELA SIVA NAGADHANA RAJU","KANIGALLA LEELA SIVA NAGADHANA RAJU","Andhra Pradesh","West Godavari","View        registration details for AANTHAHAPURAM (APTEL/2003/11229)"
