"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"2001","NALGONDA JYOTI","APTEL/2010/34496","24-11-2010","Telugu","Daily","MOHAMMAD ABDUL RAFEEK","MOHAMMAD ABDUL RAFEEK","Andhra Pradesh","Nalgonda","View        registration details for NALGONDA JYOTI (APTEL/2010/34496)"
"2002","NALGONDA VAARTHA JYOTHI","APTEL/2011/41921","02-05-2012","Telugu","Monthly","CHALASANI SRINIVASA RAO","CHALASANI SRINIVASA RAO","Andhra Pradesh","Suryapet","View        registration details for NALGONDA VAARTHA JYOTHI (APTEL/2011/41921)"
"2003","NALIVELI EXPRESS","APTEL/2017/73062","23-08-2017","Telugu","Daily","PERAVALAPPAGARI SREERAMULU","PERAVALAPPAGARI SREERAMULU","Andhra Pradesh","Kurnool","View        registration details for NALIVELI EXPRESS (APTEL/2017/73062)"
"2004","NALIVELI EXPRESS","APTEL/2023/89658","15-10-2024","TELUGU","Daily","PEREAVALAPPAGARI  SREERAMULU","PEREAVALAPPAGARI  SREERAMULU","Andhra Pradesh","Anantapur","View        registration details for NALIVELI EXPRESS (APTEL/2023/89658)"
"2005","NALIVELI EXPRESS","APTEL/26/A0217","08-01-2026","Telugu","Weekly","PERAVALAPPAGARI SREERAMULU","PERAVALAPPAGARI SREERAMULU","Andhra Pradesh","Kurnool","View        registration details for NALIVELI EXPRESS (APTEL/26/A0217)"
"2006","NAMASTE","APTEL/2004/22196","12-12-2007","Telugu","Daily","MUTHYALA SAIDESWARA RAO","MUTHYALA SAIDESWARA RAO","Andhra Pradesh","N T R","View        registration details for NAMASTE (APTEL/2004/22196)"
"2007","NAMASTE AMRAVATHI","APTEL/2016/68692","09-09-2016","Telugu","Daily","POOLASETTY CHALAPATHI","POOLASETTY CHALAPATHI","Andhra Pradesh","Anantapur","View        registration details for NAMASTE AMRAVATHI (APTEL/2016/68692)"
"2008","NAMASTE NAVYANDHRA","APTEL/2014/59830","27-01-2015","Telugu","Fortnightly","NAKKA VENKATESWARA REDDY","NAKKA VENKATESWARA REDDY","Andhra Pradesh","Visakhapatnam","View        registration details for NAMASTE NAVYANDHRA (APTEL/2014/59830)"
"2009","NAMASTE NELLORE","APTEL/2016/70692","06-03-2017","Telugu","Fortnightly","KUNDAVARAM BOB JEDIDIAH","KUNDAVARAM BOB JEDIDIAH","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for NAMASTE NELLORE (APTEL/2016/70692)"
"2010","NAMASTE PALNADU","APTEL/25/A0376","22-05-2025","Telugu","Daily","GARIKAPATI SANKAR RAO","GARIKAPATI SANKAR RAO","Andhra Pradesh","Guntur","View        registration details for NAMASTE PALNADU (APTEL/25/A0376)"
