"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"3001","RAYALASEEMA SAMAYAM","APTEL/2011/37932","20-06-2011","Telugu","Daily","ADENA SANDEEP KUMAR REDDY","ADENA SANDEEP KUMAR REDDY","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for RAYALASEEMA SAMAYAM (APTEL/2011/37932)"
"3002","RAYALASEEMA SAMAYAM","APTEL/2003/11099","12-12-2002","Telugu","Daily","ADENA SANDEEP KUMAR REDDY","ADENA SANDEEP KUMAR REDDY","Andhra Pradesh","Y.S.R.","View        registration details for RAYALASEEMA SAMAYAM (APTEL/2003/11099)"
"3003","RAYALASEEMA SAMAYAM","APTEL/2011/37940","21-06-2011","Telugu","Daily","ADENA SANDEEP KUMAR REDDY","ADENA SANDEEP KUMAR REDDY","Andhra Pradesh","Anantapur","View        registration details for RAYALASEEMA SAMAYAM (APTEL/2011/37940)"
"3004","RAYALASEEMA SAMAYAM","APTEL/2020/85869","20-12-2023","Telugu","Daily","ADENA SANDEEP KUMAR REDDY","ADENA SANDEEP KUMAR REDDY","Andhra Pradesh","N T R","View        registration details for RAYALASEEMA SAMAYAM (APTEL/2020/85869)"
"3005","RAYALASEEMA TIMES","APTEL/2007/19196","13-04-2007","Telugu","Weekly","G.A. SATTAR","G.A. SATTAR","Andhra Pradesh","Kurnool","View        registration details for RAYALASEEMA TIMES (APTEL/2007/19196)"
"3006","RAYALASEEMA TIMES","APTEL/2007/20771","09-08-2007","Telugu","Daily","G. A  SATTAR","G.A. SATTAR","Andhra Pradesh","Kurnool","View        registration details for RAYALASEEMA TIMES (APTEL/2007/20771)"
"3007","RAYALASEEMA TODAY","APTEL/2011/38239","12-07-2011","Telugu","Monthly","G. SREENATH REDDY","G. SREENATH REDDY","Andhra Pradesh","Anantapur","View        registration details for RAYALASEEMA TODAY (APTEL/2011/38239)"
"3008","RAYALASEEMA UDAYAM","APTEL/2010/32902","07-07-2010","Telugu","Weekly","G.ABDUL SATTAR","G.ABDUL SATTAR","Andhra Pradesh","Kurnool","View        registration details for RAYALASEEMA UDAYAM (APTEL/2010/32902)"
"3009","RAYALASEEMA VARSHAM","APTEL/2021/83508","09-03-2023","Telugu","Daily","M NAGARAJU","M NAGARAJU","Andhra Pradesh","Kurnool","View        registration details for RAYALASEEMA VARSHAM (APTEL/2021/83508)"
"3010","RAYALASEEMA VELUGU","APTEL/2015/65637","12-01-2016","Telugu","Monthly","S. KULLAYAPPA","S.KULLAYAPPA","Andhra Pradesh","Anantapur","View        registration details for RAYALASEEMA VELUGU (APTEL/2015/65637)"
"3011","RAYALASEEMAROUNDUP","APTEL/26/A0315","14-01-2026","Telugu","Daily","R Preetham","R Preetham","Andhra Pradesh","Ananthapur","View        registration details for RAYALASEEMAROUNDUP (APTEL/26/A0315)"
"3012","RAYALATIMES","APTEL/25/A5167","16-12-2025","Telugu","Daily","GORANTLA SEKHAR BABU","GORANTLA SEKHAR BABU","Andhra Pradesh","Kurnool","View        registration details for RAYALATIMES  (APTEL/25/A5167)"
"3013","READER NEWS","APTEL/2013/50239","10-06-2013","Telugu","Monthly","MANAPURAM RAVI CHANDRA SEKHAR","MANAPURAM RAVI CHANDRA SEKHAR","Andhra Pradesh","Vizianagaram","View        registration details for READER NEWS (APTEL/2013/50239)"
"3014","REAL ADVISER","APTEL/2009/28874","01-09-2009","Telugu","Monthly","K. LAKSHMI NARAYANA","K. LAKSHMI NARAYANA","Andhra Pradesh","Rangareddy","View        registration details for REAL ADVISER (APTEL/2009/28874)"
"3015","REAL NEWS OF INDIA","APTEL/2012/53682","19-12-2013","Telugu","Fortnightly","CHALADI PURNA CHANDRA RAO","CHALADI PURNA CHANDRA RAO","Andhra Pradesh","Krishna","View        registration details for REAL NEWS OF INDIA (APTEL/2012/53682)"
"3016","RED","APENG/2011/38387","28-07-2011","English","Monthly","TIPPALA CHANDRA MOULI","TIPPALA CHANDRA MOULI","Andhra Pradesh","Visakhapatnam","View        registration details for RED (APENG/2011/38387)"
"3017","REDDY & REDDY","APTEL/2010/32862","05-07-2010","Telugu","Monthly","PINNAPUREDDY RAJA REDDY","PINNAPUREDDY RAJA REDDY","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for REDDY & REDDY (APTEL/2010/32862)"
"3018","REDDY NADU","APTEL/2007/22110","06-12-2007","Telugu","Monthly","C. SREENIVASULU REDDY","C. SREENIVASULU REDDY","Andhra Pradesh","Rangareddy","View        registration details for REDDY NADU (APTEL/2007/22110)"
"3019","REDDY NESTHAM","APTEL/2013/54516","05-02-2014","Telugu","Monthly","VARAM SURENDER REDDY","VARAM SURENDER REDDY","Andhra Pradesh","Rangareddy","View        registration details for REDDY NESTHAM (APTEL/2013/54516)"
"3020","REDDY TEJAM","APTEL/2007/20111","13-06-2007","Telugu","Monthly","T. SANDHYA RANI","T. SANDHYA RANI","Andhra Pradesh","Nalgonda","View        registration details for REDDY TEJAM (APTEL/2007/20111)"
"3021","REDDY VANI","APTEL/2015/65378","28-12-2015","Telugu","Monthly","DIDDEKUNTA LAKSHMI KANTHA REDDY","DIDDEKUNTA LAKSHMI KANTHA REDDY","Andhra Pradesh","Anantapur","View        registration details for REDDY VANI (APTEL/2015/65378)"
"3022","REDDYS VARADHI","APTEL/2017/73285","12-09-2017","Telugu","Monthly","TADI BHEEMA REDDY","TADI BHEEMA REDDY","Andhra Pradesh","Visakhapatnam","View        registration details for REDDYS VARADHI (APTEL/2017/73285)"
"3023","REGIONAL REAL NEWS","APTEL/2010/31851","07-04-2010","Telugu","Daily","DUKKIPATI VENKATA KRISHNA RAO","D.V. KRISHNA RAO","Andhra Pradesh","Krishna","View        registration details for REGIONAL REAL NEWS (APTEL/2010/31851)"
"3024","REGIONAL REAL NEWS","APTEL/25/A2009","31-07-2025","Telugu","Daily","DUKKIPATI VENKATA KRISHNA RAO","DUKKIPATI VENKATA KRISHNA RAO","Andhra Pradesh","Guntur","View        registration details for REGIONAL REAL NEWS (APTEL/25/A2009)"
"3025","REGISTRATION TIMES","APTEL/2015/63675","07-08-2015","Telugu","Monthly","N. PURUSHOTHAM","N.PURUSHOTHAM","Andhra Pradesh","Andhra Pradesh","View        registration details for REGISTRATION TIMES (APTEL/2015/63675)"
"3026","REPALLE JAYAKEATHNAM","APTEL/25/A5202","17-12-2025","Telugu","Monthly","DIVI VENKATA NAGA JAGADEESH BABU","DIVI VENKATA NAGA JAGADEESH BABU","Andhra Pradesh","Guntur","View        registration details for REPALLE JAYAKEATHNAM (APTEL/25/A5202)"
"3027","REPATI KOSAM","APTEL/2018/75566","18-06-2018","Telugu","Daily","Sakhamuru Srinivasa Prasad","SRIKANTH MIKKILINENI","Andhra Pradesh","Guntur","View        registration details for REPATI KOSAM (APTEL/2018/75566)"
"3028","REPATI KOSAM","APTEL/26/A4096","22-05-2026","Telugu","Daily","Sakhamuru Srinivasa Prasad","SRIKANTH MIKKILINENI","Andhra Pradesh","Y.S.R.","View        registration details for REPATI KOSAM (APTEL/26/A4096)"
"3029","REPATI KOSAM","APTEL/26/A3333","11-05-2026","Telugu","Daily","Sakhamuru Srinivasa Prasad","SRIKANTH MIKKILINENI","Andhra Pradesh","Srikakulam","View        registration details for REPATI KOSAM (APTEL/26/A3333)"
"3030","REPATI KOSAM","APTEL/26/A3017","30-04-2026","Telugu","Daily","Sakhamuru Srinivasa Prasad","SRIKANTH MIKKILINENI","Andhra Pradesh","Krishna","View        registration details for REPATI KOSAM (APTEL/26/A3017)"
"3031","REPATI KOSAM","APTEL/26/A4095","22-05-2026","Telugu","Daily","Sakhamuru Srinivasa Prasad","SRIKANTH MIKKILINENI","Andhra Pradesh","East Godavari","View        registration details for REPATI KOSAM (APTEL/26/A4095)"
"3032","REPATI KOSAM","APTEL/2015/61039","31-03-2015","Telugu","Monthly","SRIKANTH MIKKILINENI","SRIKANTH MIKKILINENI","Andhra Pradesh","Guntur","View        registration details for REPATI KOSAM (APTEL/2015/61039)"
"3033","REPATI KOSAM","APTEL/26/A4094","22-05-2026","Telugu","Daily","Sakhamuru Srinivasa Prasad","SRIKANTH MIKKILINENI","Andhra Pradesh","Visakhapatnam","View        registration details for REPATI KOSAM (APTEL/26/A4094)"
"3034","Repati Maro Netram","APTEL/25/A5011","10-12-2025","Telugu","Daily","Mallu Manasa","Mallu Manasa","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for Repati Maro Netram (APTEL/25/A5011)"
